id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
689688142530302817,"Mansarda Heidi, ai piedi della Diga del Gleno",201495592,Chiara,,Vilminore di Scalve,46.00089,10.07577,Entire home/apt,85,2,7,2024-01-07,0.31,4,52,3,
691726791998393018,Trilocale Vista Lago 6posti letto Wifi checkin24h,251620538,Ely,,Ranzanico,45.78914,9.93583,Entire home/apt,209,1,33,2024-06-23,2.29,6,314,27,016179-CIM-00002
691907331506820730,Antico Cascinale ristrutturato e giardino privato,474663611,Chiara,,Bergamo,45.701180614829454,9.633410590460189,Entire home/apt,92,2,10,2024-06-06,0.49,1,302,7,016024-CNI-00478
692144658925342394,Bike house 4 beach,18217993,Claudia,,Seriate,45.68216,9.72949,Entire home/apt,140,1,6,2023-11-27,0.32,5,358,4,
692489373922773071,Penthouse in Città Alta - Bergamo,45802866,Alberto,,Bergamo,45.70549,9.66177,Entire home/apt,129,1,23,2024-05-28,1.05,1,341,5,016024-CNI-00591
693300485308579302,Happy Guest Apartments - Lake Panorama & Pool,394705339,Happy Guest Apartments,,Riva di Solto,45.7838,10.04626,Entire home/apt,131,2,30,2024-05-29,1.97,10,135,27,016180-CIM-00036
694082440386185847,Il Nove Bergamo,129916770,Kinga,,Bergamo,45.69407,9.6638,Entire home/apt,104,2,106,2024-06-19,6.28,1,127,74,016024-LNI-00056
695232968927288040,Spazioso e luminoso appartamento,143757996,Marco,,Valbrembo,45.71235,9.60667,Entire home/apt,69,2,15,2024-02-11,0.74,1,357,7,016224-CNI-00003
696125297498034208,Chalet al Borgo Antico - Oneta (BG),141829319,Silvana,,Oneta,45.8738028,9.8052997,Entire home/apt,113,2,2,2023-08-27,0.19,1,118,2,
697597461334941763,Stanza in casa in montagna 1030 metri altitudine.,429084901,Alfiya,,Oltre il Colle,45.88911,9.78077,Private room,35,1,1,2023-07-02,0.08,8,333,1,
700753115179685621,stanza per corsisti ryanair,29723480,Jacopo,,Grassobbio,45.65478,9.7226,Shared room,28,14,2,2023-05-20,0.09,7,309,0,
701683426911009463,2-bedroom flat in the heart of Bergamo city centre,78323045,Manuel,,Bergamo,45.69151792303586,9.66295000165701,Entire home/apt,98,1,106,2024-06-26,4.95,1,271,57,P2153/2022 (ufficio commercio e suolo)
702782598020021024,Le tenda - A contatto con il sottobosco,18922829,Placat,,Bossico,45.82925,10.04593,Entire home/apt,,1,3,2024-04-29,0.27,1,362,3,
703496262564802222,Three-room apartment with garden for 4/5 people,5706061,Silvia,,Bergamo,45.6788,9.64586,Entire home/apt,110,2,11,2023-08-05,0.51,4,180,3,CIR016024-BEB-00098
704762663641676062,Casa Picasso,392969278,Marina,,Parzanica,45.7370709586335,10.039884128836,Entire home/apt,158,1,6,2024-06-02,0.28,15,135,3,016159-CIM-00020
705084958113562542,Cozy flat + parking close to City center/Airport,113864784,Alberto,,Bergamo,45.68485,9.67546,Entire home/apt,93,1,27,2024-05-07,1.24,2,311,18,CIR: 016024-CIM-00559
705487649733201961,【Presolana Home】relax con vista - SELF CHECK IN,405469465,Linda,,Castione della Presolana,45.92036,10.0566,Entire home/apt,210,2,30,2024-05-19,1.41,8,26,16,016064-LNI-00003
